"wl","UV","S","M","L"
300,0.40437348,0,0,0
301,0.41494954,0,0,0
302,0.42535965,0,0,0
303,0.43559894,0,0,0
304,0.44566506,0,0,0
305,0.45555823,0,0,0
306,0.46528119,0,0,0
307,0.47483915,0,0,0
308,0.48423971,0,0,0
309,0.49349272,0,0,0
310,0.50261015,0,0,0
311,0.51160591,0,0,0
312,0.52049562,0,0,0
313,0.52929643,0,0,0
314,0.53802672,0,0,0
315,0.54670586,0,0,0
316,0.55535395,0,0,0
317,0.56399152,0,0,0
318,0.57263923,0,0,0
319,0.5813176,0,0,0
320,0.5900467,0,0,0
321,0.59884592,0,0,0
322,0.60773362,0,0,0
323,0.61672695,0,0,0
324,0.62584155,0,0,0
325,0.63509139,0,0,0
326,0.64448851,0,0,0
327,0.65404286,0,0,0
328,0.66376218,0,0,0
329,0.67365184,0,0,0
330,0.68371473,0,0,0
331,0.6939512,0,0,0
332,0.70435901,0,0,0
333,0.7149333,0,0,0
334,0.72566657,0,0,0
335,0.7365487,0,0,0
336,0.74756701,0,0,0
337,0.7587063,0,0,0
338,0.76994891,0,0,0
339,0.78127482,0,0,0
340,0.79266174,0,0,0
341,0.80408521,0,0,0
342,0.81551874,0,0,0
343,0.8269339,0,0,0
344,0.83830045,0,0,0
345,0.84958649,0,0,0
346,0.86075854,0,0,0
347,0.87178171,0,0,0
348,0.88261979,0,0,0
349,0.89323538,0,0,0
350,0.90359004,0,0,0
351,0.91364433,0,0,0
352,0.92335802,0,0,0
353,0.93269011,0,0,0
354,0.941599,0,0,0
355,0.95004257,0,0,0
356,0.95797831,0,0,0
357,0.96536338,0,0,0
358,0.97215482,0,0,0
359,0.97830956,0,0,0
360,0.98378463,0,0,0
361,0.98853726,0,0,0
362,0.99252501,0,0,0
363,0.99570597,0,0,0
364,0.99803888,0,0,0
365,0.99948334,0,0,0
366,1,0,0,0
367,0.99955076,0,0,0
368,0.99809902,0,0,0
369,0.99560988,0,0,0
370,0.99205043,0,0,0
371,0.98739003,0,0,0
372,0.98160053,0,0,0
373,0.97465667,0,0,0
374,0.96653631,0,0,0
375,0.95722078,0,0,0
376,0.94669525,0,0,0
377,0.93494907,0,0,0
378,0.92197611,0,0,0
379,0.90777521,0,0,0
380,0.89235051,0,0,0
381,0.87571195,0,0,0
382,0.85787561,0,0,0
383,0.83886425,0,0,0
384,0.81870769,1e-08,0,0
385,0.79744331,4e-08,0,0
386,0.77511651,1.3e-07,0,0
387,0.7517811,3.8e-07,0,0
388,0.7274997,9.8e-07,0,0
389,0.70234409,2.41e-06,0,0
390,0.67639537,5.56e-06,0,0
391,0.64974406,1.216e-05,0,0
392,0.62249004,2.525e-05,0,0
393,0.59474215,4.994e-05,0,0
394,0.56661769,9.442e-05,0,0
395,0.5382415,0.00017121,0,0
396,0.50974478,0.00029855,0,0
397,0.48126356,0.00050199,0,0
398,0.45293686,0.00081587,0,0
399,0.42490457,0.00128469,0,0
400,0.39730506,0.0019641,0,0
401,0.37027271,0.0029213,0,0
402,0.34393531,0.00423489,0,0
403,0.31841159,0.00599393,0,0
404,0.29380891,0.00829626,0,0
405,0.27022124,0.01124615,0,0
406,0.24772757,0.01495138,0,0
407,0.22639078,0.01951992,0,0
408,0.20625699,0.0250564,0,0
409,0.18735559,0.03165859,0,0
410,0.16969961,0.03941411,0,0
411,0.15328668,0.04839752,0,0
412,0.13810034,0.05866786,0,0
413,0.12411163,0.0702669,0,0
414,0.11128094,0.08321802,0,0
415,0.09955989,0.09752566,0,0
416,0.08889328,0.11317553,0,0
417,0.07922095,0.13013533,0,0
418,0.0704795,0.1483559,0,0
419,0.06260387,0.16777285,0,0
420,0.05552868,0.18830837,0,0
421,0.04918941,0.2098733,0,0
422,0.04352328,0.23236928,0,0
423,0.03847004,0.25569083,0,0
424,0.03397246,0.27972746,0,0
425,0.02997673,0.30436565,0,1e-08
426,0.02643266,0.32949059,0,4e-08
427,0.0232938,0.35498784,0,1.1e-07
428,0.02051745,0.38074468,0,2.8e-07
429,0.01806457,0.40665138,0,6.9e-07
430,0.01589968,0.43260211,0,1.58e-06
431,0.01399065,0.45849574,0,3.42e-06
432,0.01230852,0.48423645,0,7.06e-06
433,0.01082729,0.50973413,0,1.385e-05
434,0.00952368,0.53490464,0,2.599e-05
435,0.00837692,0.55966993,0,4.676e-05
436,0.00736851,0.58395808,0,8.088e-05
437,0.00648201,0.60770316,0,0.00013492
438,0.00570285,0.63084514,0,0.00021756
439,0.00501813,0.65332957,0,0.00033994
440,0.00441647,0.67510742,0,0.00051586
441,0.00388781,0.69613466,0,0.00076179
442,0.00342328,0.71637204,0,0.00109689
443,0.00301508,0.73578467,0,0.00154272
444,0.00265634,0.75434176,0,0.00212292
445,0.00234102,0.77201622,0,0.00286267
446,0.00206383,0.7887844,0,0.00378815
447,0.00182009,0.80462576,0,0.00492586
448,0.00160573,0.8195226,0,0.00630196
449,0.00141715,0.8334598,0,0.00794164
450,0.00125121,0.84642461,0,0.0098685
451,0.00110514,0.85840641,1e-08,0.01210406
452,0.00097652,0.86939654,3e-08,0.01466735
453,0.00086323,0.8793882,9e-08,0.01757456
454,0.00076342,0.88837624,2.5e-07,0.02083893
455,0.00067543,0.89635714,6.6e-07,0.02447057
456,0.00059785,0.90332888,1.63e-06,0.02847655
457,0.00052941,0.90929093,3.81e-06,0.03286095
458,0.00046902,0.91424418,8.45e-06,0.03762502
459,0.0004157,0.91819093,1.782e-05,0.04276745
460,0.00036862,0.92113495,3.584e-05,0.04828454
461,0.00032701,0.92308142,6.894e-05,0.05417055
462,0.00029023,0.92403701,0.00012723,0.06041797
463,0.00025771,0.92400987,0.00022589,0.06701778
464,0.00022894,0.92300976,0.00038672,0.07395974
465,0.00020347,0.92104799,0.00063994,0.08123267
466,0.00018092,0.91813756,0.00102576,0.08882468
467,0.00016095,0.91429314,0.00159586,0.09672338
468,0.00014324,0.90953115,0.00241439,0.10491609
469,0.00012755,0.9038698,0.00355837,0.11338999
470,0.00011362,0.89732907,0.00511737,0.12213229
471,0.00010126,0.8899308,0.00719229,0.13113031
472,9.029e-05,0.88169859,0.0098933,0.14037161
473,8.054e-05,0.87265791,0.01333698,0.14984405
474,7.188e-05,0.86283595,0.01764276,0.15953586
475,6.418e-05,0.85226167,0.02292894,0.16943567
476,5.733e-05,0.84096567,0.02930836,0.17953253
477,5.124e-05,0.82898015,0.03688416,0.18981595
478,4.581e-05,0.8163388,0.04574573,0.20027586
479,4.098e-05,0.80307668,0.05596517,0.21090267
480,3.667e-05,0.7892301,0.06759435,0.2216872
481,3.283e-05,0.77483648,0.08066274,0.23262067
482,2.941e-05,0.75993416,0.0951761,0.24369471
483,2.635e-05,0.7445623,0.11111601,0.25490132
484,2.362e-05,0.72876064,0.12844017,0.26623282
485,2.119e-05,0.71256938,0.1470835,0.27768185
486,1.901e-05,0.69602896,0.16695987,0.28924133
487,1.707e-05,0.67917987,0.18796426,0.30090443
488,1.533e-05,0.66206252,0.20997543,0.31266455
489,1.377e-05,0.64471702,0.23285872,0.32451526
490,1.238e-05,0.62718303,0.25646907,0.33645031
491,1.113e-05,0.60949962,0.28065393,0.34846359
492,1.001e-05,0.59170507,0.30525626,0.3605491
493,9.01e-06,0.57383679,0.33011717,0.37270093
494,8.11e-06,0.55593118,0.3550785,0.38491323
495,7.31e-06,0.53802351,0.37998504,0.39718021
496,6.59e-06,0.52014783,0.4046865,0.40949611
497,5.94e-06,0.50233692,0.42903919,0.42185517
498,5.35e-06,0.48462219,0.45290737,0.43425165
499,4.83e-06,0.46703366,0.47616431,0.44667978
500,4.36e-06,0.44959991,0.49869314,0.45913376
501,3.94e-06,0.43234807,0.52038739,0.47160778
502,3.56e-06,0.41530379,0.54115129,0.48409596
503,3.21e-06,0.39849125,0.56089998,0.49659237
504,2.91e-06,0.38193318,0.57955944,0.50909103
505,2.63e-06,0.36565084,0.59706631,0.52158591
506,2.38e-06,0.34966408,0.61336767,0.53407089
507,2.15e-06,0.33399132,0.62842059,0.54653978
508,1.95e-06,0.31864959,0.64219175,0.55898634
509,1.77e-06,0.30365456,0.65465691,0.57140423
510,1.6e-06,0.28902053,0.6658004,0.58378707
511,1.45e-06,0.27476051,0.67561454,0.59612837
512,1.32e-06,0.26088616,0.68409909,0.60842159
513,1.19e-06,0.24740786,0.69126068,0.6206601
514,1.08e-06,0.23433468,0.69711225,0.63283722
515,9.8e-07,0.22167441,0.7016725,0.64494617
516,8.9e-07,0.20943358,0.70496532,0.65698013
517,8.1e-07,0.19761741,0.70701933,0.66893218
518,7.4e-07,0.18622984,0.70786731,0.68079536
519,6.7e-07,0.17527355,0.70754578,0.69256263
520,6.1e-07,0.16474991,0.7060945,0.7042269
521,5.5e-07,0.15465905,0.70355606,0.71578099
522,5.1e-07,0.14499981,0.69997545,0.72721768
523,4.6e-07,0.13576978,0.69539968,0.73852968
524,4.2e-07,0.12696535,0.68987737,0.74970965
525,3.8e-07,0.1185817,0.68345847,0.76075019
526,3.5e-07,0.11061283,0.67619384,0.77164382
527,3.2e-07,0.10305168,0.66813502,0.78238302
528,2.9e-07,0.09589011,0.65933389,0.79296021
529,2.6e-07,0.08911902,0.6498424,0.80336776
530,2.4e-07,0.08272837,0.63971234,0.81359796
531,2.2e-07,0.07670735,0.62899508,0.82364307
532,2e-07,0.07104439,0.61774137,0.83349525
533,1.8e-07,0.06572729,0.60600114,0.84314666
534,1.7e-07,0.06074333,0.59382331,0.85258935
535,1.5e-07,0.05607935,0.58125566,0.86181535
536,1.4e-07,0.05172186,0.56834465,0.8708166
537,1.3e-07,0.04765716,0.55513534,0.87958503
538,1.2e-07,0.04387139,0.54167123,0.88811247
539,1.1e-07,0.04035068,0.52799422,0.89639073
540,1e-07,0.03708121,0.51414452,0.90441156
541,9e-08,0.03404929,0.50016061,0.91216666
542,8e-08,0.03124144,0.48607915,0.9196477
543,8e-08,0.02864447,0.47193501,0.92684631
544,7e-08,0.02624551,0.45776126,0.93375409
545,6e-08,0.02403208,0.44358911,0.94036262
546,6e-08,0.02199214,0.429448,0.94666347
547,5e-08,0.02011411,0.41536554,0.9526482
548,5e-08,0.01838689,0.40136763,0.95830837
549,5e-08,0.0167999,0.38747843,0.9636356
550,4e-08,0.01534307,0.37372044,0.9686215
551,4e-08,0.01400688,0.36011455,0.97325776
552,4e-08,0.0127823,0.34668006,0.97753613
553,3e-08,0.01166085,0.33343481,0.98144846
554,3e-08,0.01063456,0.32039518,0.9849867
555,3e-08,0.00969597,0.30757616,0.98814296
